usuario_id,musica_id,nota
1,132,4
1,77,4
1,100,3
1,130,3
1,170,1
1,49,4
1,186,3
1,195,1
1,7,2
1,6,4
1,35,3
1,85,5
1,193,4
1,110,4
1,96,3
1,92,1
1,34,4
1,133,3
2,137,3
2,170,4
2,36,4
2,187,3
2,71,4
2,139,4
2,146,4
2,5,3
2,13,5
2,180,5
2,35,4
2,15,5
2,197,2
2,98,3
2,74,4
3,181,2
3,46,4
3,194,4
3,25,2
3,86,3
3,124,4
3,91,4
3,182,5
3,21,5
3,34,5
3,47,3
3,111,2
3,104,5
3,87,5
3,110,4
3,176,1
3,88,5
3,8,5
3,24,4
3,12,3
3,109,1
3,53,4
3,44,4
3,108,2
4,13,1
4,100,5
4,176,3
4,89,4
4,125,1
4,88,4
4,195,4
4,127,1
4,35,5
4,28,5
4,20,4
4,56,3
4,118,5
4,58,4
4,54,5
4,70,4
4,192,4
4,170,5
4,128,5
4,156,2
4,161,4
4,116,2
4,167,5
4,19,4
5,188,5
5,110,5
5,170,2
5,162,5
5,27,5
5,114,5
5,133,4
5,194,3
5,4,4
5,60,4
5,129,4
5,195,4
5,130,4
5,107,4
5,136,2
5,189,3
5,57,2
6,79,3
6,123,5
6,191,5
6,64,4
6,13,4
6,85,3
6,31,2
6,109,2
6,182,4
6,127,3
6,72,5
6,23,4
6,126,5
6,186,1
6,173,4
6,166,4
6,43,4
6,63,5
6,24,4
6,120,4
6,107,5
6,167,1
6,84,2
6,89,2
6,104,4
7,132,5
7,21,4
7,86,1
7,36,3
7,147,4
7,53,3
7,173,5
7,98,2
7,110,5
7,174,4
7,162,3
7,8,4
7,139,2
7,6,3
7,73,2
7,138,5
7,17,2
7,197,4
7,152,5
7,96,4
7,83,3
7,117,4
7,59,5
7,120,5
8,143,2
8,40,5
8,198,5
8,157,5
8,177,3
8,63,4
8,50,3
8,27,5
8,176,1
8,99,4
8,11,5
8,162,3
8,34,4
8,190,5
8,91,4
8,182,4
8,57,4
8,150,2
8,117,5
8,53,5
9,102,4
9,44,5
9,165,1
9,72,1
9,99,5
9,7,1
9,183,4
9,198,5
9,52,3
9,23,4
9,32,5
9,118,4
9,107,2
9,1,5
9,22,3
9,154,5
9,21,4
9,200,3
9,127,3
9,5,5
9,58,4
9,41,4
9,160,4
9,26,4
10,43,4
10,144,1
10,31,4
10,162,4
10,138,5
10,177,4
10,16,5
10,193,5
10,33,5
10,166,5
10,153,5
10,97,5
10,93,3
10,23,4
10,35,4
10,175,4
10,11,3
10,124,5
10,130,4
10,50,2
10,165,1
10,36,4
11,174,3
11,108,2
11,57,3
11,189,1
11,143,4
11,110,4
11,113,3
11,159,4
11,124,4
11,14,3
11,5,5
11,112,3
11,200,2
11,91,5
11,28,4
11,21,4
11,33,4
11,22,1
11,84,5
11,29,3
11,105,3
11,43,5
11,12,5
11,56,3
12,198,5
12,154,5
12,195,3
12,68,5
12,73,4
12,109,5
12,33,3
12,158,4
12,96,4
12,171,3
12,200,3
12,62,5
12,156,4
12,128,5
12,19,3
12,54,3
12,22,4
12,46,2
12,47,4
12,5,3
12,153,3
12,28,4
12,76,4
12,124,1
13,91,5
13,177,3
13,46,5
13,70,2
13,115,4
13,110,4
13,20,2
13,153,4
13,173,5
13,152,5
13,56,3
13,43,3
13,183,1
13,195,3
13,138,5
13,193,4
13,11,5
13,147,5
13,128,1
14,8,3
14,51,3
14,133,5
14,81,3
14,135,4
14,74,3
14,166,3
14,122,4
14,60,5
14,191,5
14,72,5
14,192,3
14,84,3
14,145,4
14,127,4
14,40,5
15,103,4
15,198,5
15,98,4
15,70,3
15,92,5
15,186,4
15,65,5
15,100,3
15,150,3
15,144,2
15,136,5
15,76,5
15,21,1
15,43,3
15,82,2
15,28,3
15,47,3
15,75,4
15,123,5
15,167,4
15,183,5
15,59,3
16,152,3
16,5,3
16,192,3
16,93,5
16,96,4
16,200,2
16,37,2
16,53,5
16,193,5
16,120,4
16,114,3
16,87,5
16,27,4
16,117,5
16,22,3
16,122,5
17,124,5
17,196,4
17,7,5
17,12,4
17,36,4
17,103,4
17,94,4
17,159,5
17,99,3
17,163,3
17,91,5
17,145,5
17,199,4
17,104,2
17,27,3
17,128,5
17,69,2
17,18,3
17,158,4
17,20,3
18,159,5
18,148,2
18,118,4
18,112,4
18,53,2
18,12,4
18,158,4
18,26,5
18,94,4
18,15,4
18,5,4
18,47,1
18,79,5
18,9,4
18,105,5
18,114,4
18,7,3
18,29,5
18,78,4
18,134,4
19,73,3
19,141,4
19,53,4
19,64,4
19,40,5
19,152,3
19,7,3
19,143,4
19,115,5
19,47,4
19,77,4
19,49,3
19,100,5
19,189,2
19,190,5
19,199,4
19,34,4
19,180,1
19,117,3
19,45,5
20,156,5
20,13,1
20,159,4
20,84,4
20,91,4
20,14,3
20,20,4
20,158,4
20,18,5
20,190,4
20,32,2
20,145,5
20,192,3
20,28,3
20,29,4
20,27,3
20,188,2
20,134,3
20,154,3
21,28,5
21,185,4
21,103,4
21,196,3
21,161,3
21,152,3
21,122,1
21,38,3
21,182,5
21,148,4
21,183,5
21,134,5
21,8,1
21,167,5
21,158,4
21,89,5
21,36,4
21,155,5
21,54,5
21,190,1
21,179,3
22,115,3
22,112,3
22,196,5
22,199,5
22,143,5
